account_rewards,date
-15720.271728515625,2022-01-03
-32530.353576660156,2022-01-04
-19874.76500872802,2022-01-05
1157.0723419189453,2022-01-06
136.10140991210938,2022-01-07
19670.6505279541,2022-01-10
3062.8076171875,2022-01-11
-22733.4581451416,2022-01-12
5989.829360961914,2022-01-13
-22257.418746948242,2022-01-14
-24298.939895629883,2022-01-18
-11707.140365600586,2022-01-19
-14293.487869262695,2022-01-20
-5377.162658691406,2022-01-21
-12523.748825073242,2022-01-24
-612.6667022705078,2022-01-25
-3198.9090270996094,2022-01-26
75619.47895812988,2022-01-27
-1159.3419959563762,2022-01-28
-34.04625396733172,2022-01-31
225.67207183828577,2022-02-01
-888.2860549925826,2022-02-02
-131.77016143803485,2022-02-03
-377.91458282480016,2022-02-04
1863.5394271849655,2022-02-07
986.2408401488792,2022-02-08
-3307.809686279157,2022-02-09
-3113.651440429967,2022-02-10
220.61596984881908,2022-02-11
4235.715226745466,2022-02-14
-301.8127746582031,2022-02-15
-4734.181930541992,2022-02-16
-2203.705854797503,2022-02-17
-4436.0432312008925,2022-02-18
-6739.366456604097,2022-02-22
4471.887478637742,2022-02-23
3739.0093597413506,2022-02-24
490.88204193115234,2022-02-25
-3812.956297302386,2022-02-28
6960.109510803362,2022-03-01
-734.2137802126817,2022-03-02
-6974.938906860072,2022-03-03
-9199.23810882587,2022-03-04
-4613.108714294154,2022-03-07
14148.514694213867,2022-03-08
-11841.959277343936,2022-03-09
-10507.768841552548,2022-03-10
-11799.645710754674,2022-03-11
13243.592066955753,2022-03-14
13777.055146789411,2022-03-15
3242.9615493773017,2022-03-16
10946.84073181171,2022-03-17
4690.070845031645,2022-03-18
11887.579519653227,2022-03-21
4930.891751098912,2022-03-22
14103.705062866211,2022-03-23
2424.8184829710517,2022-03-24
3376.0634231567383,2022-03-25
13270.66330413823,2022-03-28
-4841.462414550828,2022-03-29
-13139.692234802293,2022-03-30
-1292.6451843259856,2022-03-31
